make,model,variant,year,transmission,bodyType,fuelType,ownerNumber,odometerReading,cityRto,listingPrice,fitnessUpto,insuranceType,duplicateKey,city,registrationYear,registrationMonth,websiteUrl
Mercedes-Benz,E-Class [2017-2021],E 200 Exclusive [2019-2019],2023,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,First,1630,DL14C0018,7350000,MISSING,,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/mercedes-benz-e-class/zzjgvoyd/
BMW,6 Series GT,630i M Sport [2021-2023],2021,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",Sedan,Petrol,First,29000,GJ1233444,6500000,MISSING,Comprehensive,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/bmw-6-series-gt/fklf1i6m/
Mercedes-Benz,GLA [2017-2020],200 Sport,2019,"Automatic - 7 Gears, Paddle Shift, Sport Mode",SUV,Petrol,First,25000,MH0000000,2750000,MISSING,Expired,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/mercedes-benz-gla/ncv9atp4/
BMW,X7 [2019-2023],xDrive30d DPE Signature [2019-2020],2021,"Automatic - 8 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Diesel,First,37500,HR269200,9800000,MISSING,Expired,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/bmw-x7/70grqq3u/
BMW,5 Series [2010-2013],525d Sedan,2013,Automatic - 8 Gears,Sedan,Diesel,First,82000,,555000,MISSING,,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/bmw-5-series/awzvcvue/
Mercedes-Benz,E-Class [2017-2021],E 200 Avantgarde,2018,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Petrol,Second,100000,DL2CAY3360,2800000,MISSING,Comprehensive,MISSING,Delhi,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/mercedes-benz-e-class/hn4udh41/
Skoda,Kushaq [2023-2024],Ambition 1.0 TSI AT,2024,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Petrol,First,4058,DL11CE8430,1495000,MISSING,Comprehensive,MISSING,Delhi,02/12/2024 00:00:00,MISSING,https://www.carwale.com/used-cars/delhi/skoda-kushaq/aftkmeob/
Renault,Captur [2017-2019],RXE Petrol,2019,Manual - 5 Gears,SUV,Petrol,First,"34,692",KA04MW1327,695000,MISSING,Comprehensive,MISSING,Bangalore,03/12/2019 00:00:00,MISSING,https://www.carwale.com/used/renault-captur-cars-in-bangalore/ac0fh05z/
Skoda,Octavia [2017-2021],1.8 TSI Style Plus AT [2017],2018,"Automatic - 7 Gears, Manual Override, Sport Mode",Sedan,Petrol,Second,"60,184",KA04MV4217,1585000,MISSING,Comprehensive,MISSING,Bangalore,10/06/2018 00:00:00,MISSING,https://www.carwale.com/used/skoda-octavia-cars-in-bangalore/847vcv43/
Mercedes-Benz,CLA [2015-2016],200 CDI Sport (CBU),2015,"Automatic - 7 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,First,"43,900",KA01MM4484,2365000,MISSING,Comprehensive,MISSING,Bangalore,08/21/2015 00:00:00,MISSING,https://www.carwale.com/used/mercedes-benz-cla-cars-in-bangalore/7m5ntrp9/
Toyota,Innova Crysta [2020-2023],ZX 2.4 AT 7 STR,2021,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",MUV,Diesel,First,"52,304",KA19MN5855,2785000,MISSING,Comprehensive,MISSING,Bangalore,06/30/2021 00:00:00,MISSING,https://www.carwale.com/used/toyota-innova-crysta-cars-in-bangalore/avw5j7ss/
Kia,Seltos [2019-2022],GTX 1.4,2020,Manual - 6 Gears,SUV,Petrol,First,"20,742",KA53MG9376,1445000,MISSING,Comprehensive,MISSING,Bangalore,09/11/2020 00:00:00,MISSING,https://www.carwale.com/used/kia-seltos-cars-in-bangalore/z1mi9jc0/
Mahindra,XUV500 [2015-2018],W10 AT,2016,Automatic - 6 Gears,SUV,Diesel,First,"76,840",KA04MS0606,1299000,MISSING,Comprehensive,MISSING,Bangalore,08/18/2016 00:00:00,MISSING,https://www.carwale.com/used/mahindra-xuv500-cars-in-bangalore/bie4fgts/
Maruti Suzuki,Alto K10,VXi,2023,Manual - 5 Gears,Hatchback,Petrol,First,"8,882",KA53MK6942,566000,MISSING,,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-alto-k10-cars-in-bangalore/z9hlfmat/
Volvo,XC90,B6 Ultimate [2022-2023],2022,"Automatic - 8 Gears, Manual Override, Sport Mode",SUV,Mild Hybrid(Electric + Petrol),First,"18,000",KA01MX0673,9200000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/volvo-xc90-cars-in-bangalore/xchb92zv/
Honda,Jazz [2015-2018],VX Petrol,2017,Manual - 5 Gears,Hatchback,Petrol,First,"89,000",KA22MA7546,695000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/honda-jazz-cars-in-bangalore/pxoeqx0t/
Kia,Sonet [2020-2022],GTX Plus 1.0 iMT [2020-2021],2020,Clutchless Manual - 6 Gears,SUV,Petrol,First,"31,141",KA01MU9649,1133000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/kia-sonet-cars-in-bangalore/w99jrdq5/
Maruti Suzuki,Celerio [2014-2017],VXi,2016,Manual - 5 Gears,Hatchback,Petrol,First,"77,319",KA43M8116,406000,MISSING,Expired,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-celerio-cars-in-bangalore/1gyafuu6/
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,2015,Manual - 5 Gears,Hatchback,Petrol,First,"72,978",KA04MR0485,557000,MISSING,Expired,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-baleno-cars-in-bangalore/f2soz6m8/
Honda,Jazz,ZX,2020,Manual - 5 Gears,Hatchback,Petrol,First,"43,340",KA01MU7976,816000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/honda-jazz-cars-in-bangalore/pfrik6bn/
Maruti Suzuki,Swift [2021-2024],VXi AMT,2023,"AMT - 5 Gears, Manual Override",Hatchback,Petrol,First,"13,994",KA51MV4224,763000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-swift-cars-in-bangalore/dug6jx21/
Ford,EcoSport [2015-2017],Titanium 1.5L Ti-VCT AT,2016,"Automatic - 6 Gears, Sport Mode",SUV,Petrol,First,"50,785",KA02ML5009,668389,MISSING,Expired,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/ford-ecosport-cars-in-bangalore/4ns8hjca/
Maruti Suzuki,Swift [2018-2021],ZXi AMT [2018-2019],2018,AMT - 5 Gears,Hatchback,Petrol,First,"29,716",KA05MY3618,651000,MISSING,Comprehensive,MISSING,Bangalore,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used/maruti-suzuki-swift-cars-in-bangalore/ajhm4zp2/
Mercedes-Benz,B-Class [2012-2015],B180 CDI,2014,Automatic - 7 Gears,Hatchback,Diesel,First,"68,000",TN22ROUTE66,1390000,MISSING,,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-b-class/nw5svmwa/
Volkswagen,Vento [2015-2019],Highline Diesel AT [2015-2016],2016,"Automatic - 7 Gears, Manual Override",Sedan,Diesel,First,"1,12,963",TN09CC1743,574000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/volkswagen-vento/5eejzl76/
Land Rover,Range Rover Velar [2017-2023],2.0 R-Dynamic S Petrol 250 [2017-2020],2021,"Automatic - 8 Gears, Paddle Shift, Sport Mode",SUV,Petrol,Second,"57,000",TN0AXXXX,7200000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/land-rover-range-rover-velar/17hvsexr/
Mercedes-Benz,C-Class [2014-2018],C 250 d,2017,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,First,"62,000",,2500000,MISSING,,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-c-class/97vwb8kk/
Mercedes-Benz,C-Class [2014-2018],C 250 d,2016,"Automatic - 9 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,Third,"42,000",Tn14F6986,2380000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-c-class/grhv2wx5/
