srno,make,model,variant,n,new_variant,FORMULA,Column1,,,2158,1095,871
1,Aston Martin,DBX,707,1,,707,707,,,,,
2,Aston Martin,Rapide,LUXE,2,,LUXE,LUXE,,,,,
3,Aston Martin,Rapide,S V12,1,,S V12,S V12,,,,,
4,Aston Martin,Vantage V8,F1 Edition,1,,F1 Edition,F1 Edition,,,,,
5,Audi,A3,35 TDI Premium,1,TDI,35 TDI,35 TDI,,,,,
6,Audi,A3,35 TDI Premium + Sunroof,2,TDI,35 TDI,35 TDI,,,,,
7,Audi,A3,35 TDI Premium Plus + Sunroof,3,TDI,35 TDI,35 TDI,,,,,
8,Audi,A3,35 TFSI Premium Plus,1,TFSI,35 TFSI,35 TFSI,,,,,
9,Audi,A3,35 TFSI Technology,1,TFSI,35 TFSI,35 TFSI,,,,,
10,Audi,A4,1.8 TFSI Multitronic Premium Plus,1,TFSI,1.8 TFSI,1.8 TFSI,,,,,
11,Audi,A4,2.0 TDI (143bhp),1,TDI,2.0 TDI,2.0 TDI,,,,,
12,Audi,A4,2.0 TDI (177bhp) Premium,2,TDI,2.0 TDI,2.0 TDI,,,,,
13,Audi,A4,2.0 TDI (177bhp) Premium Plus,4,TDI,2.0 TDI,2.0 TDI,,,,,
14,Audi,A4,2.0 TDI Sline,2,TDI,2.0 TDI,2.0 TDI,,,,,
15,Audi,A4,30 TFSI Technology Pack,1,TFSI,30 TFSI,30 TFSI,,,,,
16,Audi,A4,35 TDI Premium Plus,2,TDI,35 TDI,35 TDI,,,,,
17,Audi,A4,35 TDI Premium Sport + Sunroof,1,TDI,35 TDI,35 TDI,,,,,
18,Audi,A4,35 TDI Technology,3,TDI,35 TDI,35 TDI,,,,,
19,Audi,A4,35 TDI Technology Pack,1,TDI,35 TDI,35 TDI,,,,,
20,Audi,A4,Premium 40 TFSI,1,TFSI,Premium 40,Premium 40,,,,,
21,Audi,A4,Premium Plus 40 TFSI,1,TFSI,Premium Plus,Premium Plus,,,,,
22,Audi,A4,Technology 40 TFSI [2021-2022],9,TFSI,Technology 40,Technology 40,,,,,
23,Audi,A6,2.0 TDI Premium,7,TDI,2.0 TDI,2.0 TDI,,,,,
24,Audi,A6,2.0 TDI Premium Plus,2,TDI,2.0 TDI,2.0 TDI,,,,,
25,Audi,A6,2.0 TFSi Premium Plus,1,TFSI,2.0 TFSi,2.0 TFSi,,,,,
26,Audi,A6,2.7 TDI,1,TDI,2.7 TDI,2.7 TDI,,,,,
27,Audi,A6,3.0 TDI quattro,1,TDI,3.0 TDI,3.0 TDI,,,,,
28,Audi,A6,35 TDI Matrix,7,TDI,35 TDI,35 TDI,,,,,
29,Audi,A6,35 TDI Premium,2,TDI,35 TDI,35 TDI,,,,,
30,Audi,A6,35 TFSI,1,TFSI,35 TFSI,35 TFSI,,,,,
31,Audi,A6,35 TFSI Matrix,1,TFSI,35 TFSI,35 TFSI,,,,,
32,Audi,A6,35 TFSI Premium,1,TFSI,35 TFSI,35 TFSI,,,,,
33,Audi,A6,35 TFSI Technology,1,TFSI,35 TFSI,35 TFSI,,,,,
34,Audi,A6,Premium Plus 45 TFSI,1,TFSI,Premium Plus,Premium Plus,,,,,
35,Audi,A6,Technology 45 TFSI,4,TFSI,Technology 45,Technology 45,,,,,
36,Audi,A6,Technology 45 TFSI W/O Matrix,3,TFSI,Technology 45,Technology 45,,,,,
37,Audi,A8 L,3.0 TDI quattro,2,TDI,3.0 TDI,3.0 TDI,,,,,
38,Audi,A8 L,4.2 TDI quattro,1,TDI,4.2 TDI,4.2 TDI,,,,,
39,Audi,A8 L,50 TDI,2,TDI,50 TDI,50 TDI,,,,,
40,Audi,A8 L,50 TDI Plus,3,TDI,50 TDI,50 TDI,,,,,
41,Audi,Q2,Technology 40 TFSI quattro,3,TFSI,Technology 40,Technology 40,,,,,
42,Audi,Q3,2.0 TDI Base Grade,2,TDI,2.0 TDI,2.0 TDI,,,,,
43,Audi,Q3,2.0 TDI S Edition,1,TDI,2.0 TDI,2.0 TDI,,,,,
44,Audi,Q3,2.0 TDI quattro Premium,2,TDI,2.0 TDI,2.0 TDI,,,,,
45,Audi,Q3,2.0 TDI quattro Premium Plus,1,TDI,2.0 TDI,2.0 TDI,,,,,
46,Audi,Q3,30 TDI Premium FWD,2,TDI,30 TDI,30 TDI,,,,,
47,Audi,Q3,30 TFSI Premium,3,TFSI,30 TFSI,30 TFSI,,,,,
48,Audi,Q3,35 TDI Premium + Sunroof,2,TDI,35 TDI,35 TDI,,,,,
49,Audi,Q3,35 TDI Premium Plus,1,TDI,35 TDI,35 TDI,,,,,
50,Audi,Q3,35 TDI Premium Plus + Sunroof,3,TDI,35 TDI,35 TDI,,,,,
51,Audi,Q3,35 TDI Technology,3,TDI,35 TDI,35 TDI,,,,,
52,Audi,Q3,35 TDI quattro Premium Plus,2,TDI,35 TDI,35 TDI,,,,,
53,Audi,Q3,35 TDI quattro Technology,1,TDI,35 TDI,35 TDI,,,,,
54,Audi,Q3,40 TFSI Premium Plus,2,TFSI,40 TFSI,40 TFSI,,,,,
55,Audi,Q3,40 TFSI Technology,3,TFSI,40 TFSI,40 TFSI,,,,,
56,Audi,Q3 Sportback,Technology,1,TFSI,Technology,Technology,,,,,
57,Audi,Q5,2.0 TDI quattro Premium,1,TDI,2.0 TDI,2.0 TDI,,,,,
58,Audi,Q5,2.0 TDI quattro Premium Plus,3,TDI,2.0 TDI,2.0 TDI,,,,,
59,Audi,Q5,2.0 TFSI quattro,1,TFSI,2.0 TFSI,2.0 TFSI,,,,,
60,Audi,Q5,2.0 TFSI quattro Technology Pack,1,TFSI,2.0 TFSI,2.0 TFSI,,,,,
61,Audi,Q5,3.0 TDI quattro Technology Pack,2,TDI,3.0 TDI,3.0 TDI,,,,,
62,Audi,Q5,30 TDI Design Edition,1,TDI,30 TDI,30 TDI,,,,,
63,Audi,Q5,35 TDI Premium Plus,3,TDI,35 TDI,35 TDI,,,,,
64,Audi,Q5,35 TDI Technology,1,TDI,35 TDI,35 TDI,,,,,
65,Audi,Q5,40 TDI Premium Plus,2,TDI,40 TDI,40 TDI,,,,,
66,Audi,Q5,45 TFSI Premium Plus,1,TFSI,45 TFSI,45 TFSI,,,,,
67,Audi,Q5,45 TFSI Technology,1,TFSI,45 TFSI,45 TFSI,,,,,
68,Audi,Q5,Premium Plus 45 TFSI,1,TFSI,Premium Plus,Premium Plus,,,,,
69,Audi,Q5,Technology 45 TFSI,2,TFSI,Technology 45,Technology 45,,,,,
70,Audi,Q7,3.0 TDI quattro Premium Plus,1,TDI,3.0 TDI,3.0 TDI,,,,,
71,Audi,Q7,3.6 FSI quattro,1,TFSI,3.6 FSI,3.6 FSI,,,,,
72,Audi,Q7,35 TDI Premium + Sunroof,2,TDI,35 TDI,35 TDI,,,,,
