make,model,variant,model_variant
Aston Martin,DBX,707,DBX 707
Aston Martin,Rapide,LUXE,Rapide LUXE
Aston Martin,Rapide,S V12,Rapide S V12
Aston Martin,Vantage V8,F1 Edition,Vantage V8 F1 Edition
Audi,A3,35 TDI Premium,A3 TDI
Audi,A3,35 TDI Premium + Sunroof,A3 TDI
Audi,A3,35 TDI Premium Plus + Sunroof,A3 TDI
Audi,A3,35 TFSI Premium Plus,A3 TFSI
Audi,A3,35 TFSI Technology,A3 TFSI
Audi,A4,1.8 TFSI Multitronic Premium Plus,A4 TFSI
Audi,A4,2.0 TDI (143bhp),A4 TDI
Audi,A4,2.0 TDI (177bhp) Premium,A4 TDI
Audi,A4,2.0 TDI (177bhp) Premium Plus,A4 TDI
Audi,A4,2.0 TDI Sline,A4 TDI
Audi,A4,30 TFSI Technology Pack,A4 TFSI
Audi,A4,35 TDI Premium Plus,A4 TDI
Audi,A4,35 TDI Premium Sport + Sunroof,A4 TDI
Audi,A4,35 TDI Technology,A4 TDI
Audi,A4,35 TDI Technology Pack,A4 TDI
Audi,A4,Premium 40 TFSI,A4 TFSI
Audi,A4,Premium Plus 40 TFSI,A4 TFSI
Audi,A4,Technology 40 TFSI [2021-2022],A4 TFSI
Audi,A6,2.0 TDI Premium,A6 TDI
Audi,A6,2.0 TDI Premium Plus,A6 TDI
Audi,A6,2.0 TFSi Premium Plus,A6 TFSI
Audi,A6,2.7 TDI,A6 TDI
Audi,A6,3.0 TDI quattro,A6 TDI
Audi,A6,35 TDI Matrix,A6 TDI
Audi,A6,35 TDI Premium,A6 TDI
Audi,A6,35 TFSI,A6 TFSI
Audi,A6,35 TFSI Matrix,A6 TFSI
Audi,A6,35 TFSI Premium,A6 TFSI
Audi,A6,35 TFSI Technology,A6 TFSI
Audi,A6,Premium Plus 45 TFSI,A6 TFSI
Audi,A6,Technology 45 TFSI,A6 TFSI
Audi,A6,Technology 45 TFSI W/O Matrix,A6 TFSI
Audi,A8 L,3.0 TDI quattro,A8 L TDI
Audi,A8 L,4.2 TDI quattro,A8 L TDI
Audi,A8 L,50 TDI,A8 L TDI
Audi,A8 L,50 TDI Plus,A8 L TDI
Audi,Q2,Technology 40 TFSI quattro,Q2 TFSI
Audi,Q3,2.0 TDI Base Grade,Q3 TDI
Audi,Q3,2.0 TDI S Edition,Q3 TDI
Audi,Q3,2.0 TDI quattro Premium,Q3 TDI
Audi,Q3,2.0 TDI quattro Premium Plus,Q3 TDI
Audi,Q3,30 TDI Premium FWD,Q3 TDI
Audi,Q3,30 TFSI Premium,Q3 TFSI
Audi,Q3,35 TDI Premium + Sunroof,Q3 TDI
Audi,Q3,35 TDI Premium Plus,Q3 TDI
Audi,Q3,35 TDI Premium Plus + Sunroof,Q3 TDI
Audi,Q3,35 TDI Technology,Q3 TDI
Audi,Q3,35 TDI quattro Premium Plus,Q3 TDI
Audi,Q3,35 TDI quattro Technology,Q3 TDI
Audi,Q3,40 TFSI Premium Plus,Q3 TFSI
Audi,Q3,40 TFSI Technology,Q3 TFSI
Audi,Q3 Sportback,Technology,Q3 Sportback TFSI
Audi,Q5,2.0 TDI quattro Premium,Q5 TDI
Audi,Q5,2.0 TDI quattro Premium Plus,Q5 TDI
Audi,Q5,2.0 TFSI quattro,Q5 TFSI
Audi,Q5,2.0 TFSI quattro Technology Pack,Q5 TFSI
Audi,Q5,3.0 TDI quattro Technology Pack,Q5 TDI
Audi,Q5,30 TDI Design Edition,Q5 TDI
Audi,Q5,35 TDI Premium Plus,Q5 TDI
Audi,Q5,35 TDI Technology,Q5 TDI
Audi,Q5,40 TDI Premium Plus,Q5 TDI
Audi,Q5,45 TFSI Premium Plus,Q5 TFSI
Audi,Q5,45 TFSI Technology,Q5 TFSI
Audi,Q5,Premium Plus 45 TFSI,Q5 TFSI
Audi,Q5,Technology 45 TFSI,Q5 TFSI
Audi,Q7,3.0 TDI quattro Premium Plus,Q7 TDI
Audi,Q7,3.6 FSI quattro,Q7 TFSI
Audi,Q7,35 TDI Premium + Sunroof,Q7 TDI
Audi,Q7,35 TDI Premium Plus + Sunroof,Q7 TDI
Audi,Q7,35 TDI Technology Pack + Sunroof,Q7 TDI
Audi,Q7,45 TDI Premium Plus,Q7 TDI
Audi,Q7,45 TDI Technology Pack,Q7 TDI
Audi,Q7,Premium Plus 55 TFSI,Q7 TFSI
Audi,Q8,55 TFSI quattro,Q8 TFSI
Audi,S5 Sportback,3.0 TFSI Quattro,S5 Sportback TFSI
Audi,e-tron,55,e-tron 
Bentley,Continental GT,Speed,Continental GT Speed
BMW,2 Series Gran Coupe,220d Sportline,2 Series Gran Coupe Sport Line
BMW,3 Series,320d,3 Series 320d
BMW,3 Series,320d Edition Sport,3 Series Sport Line
BMW,3 Series,320d Highline Sedan,3 Series Sedan
BMW,3 Series,320d Luxury Line,3 Series Luxury Line
BMW,3 Series,320d Prestige,3 Series 320d Prestige
BMW,3 Series,320d Sport Line,3 Series Sport Line
BMW,3 Series,320d Sport Line [2016-2018],3 Series Sport Line
BMW,3 Series,330i M Sport Edition,3 Series Sport Line
BMW,3 Series GT,320d Luxury Line,3 Series GT Luxury Line
BMW,3 Series GT,320d Luxury Line [2014-2016],3 Series GT Luxury Line
BMW,3 Series Gran Limousine,320Ld Luxury Line,3 Series Gran Limousine Luxury Line
BMW,3 Series Gran Limousine,330Li M Sport First Edition,3 Series Gran Limousine Sport Line
BMW,3 Series Gran Limousine,330Li M Sport [2023],3 Series Gran Limousine Sport Line
BMW,5 Series,520d Luxury Line,5 Series Luxury Line
BMW,5 Series,520d Luxury Line [2017-2019],5 Series Luxury Line
BMW,5 Series,520d M Sport,5 Series Sport Line
BMW,5 Series,520d Modern Line,5 Series Modern Line
BMW,5 Series,520d Sedan,5 Series Sedan
BMW,5 Series,520d Sport Line,5 Series Sport Line
BMW,5 Series,525d Sedan,5 Series Sedan
